date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-24,1.0,0.9999999986961462,1.000000001360152,46303774477
2024-12-25,1.0,0.999999998488582,1.0000000016670494,46303774477
2024-12-26,1.0,0.9999999982258636,1.0000000020657729,46303774477
2024-12-27,1.0,0.9999999976355289,1.0000000032609782,46303774477
2024-12-28,1.0,0.9999999967018866,1.0000000049787274,46303774477
2024-12-29,1.0,0.9999999947981484,1.0000000066277472,46303774477
2024-12-30,1.0,0.9999999929650853,1.0000000088347476,46303774477
2024-12-31,1.0,0.999999990980103,1.0000000110278007,46303774477
2025-01-01,1.0,0.9999999890353521,1.0000000132006066,46303774477
2025-01-02,1.0,0.999999986065474,1.0000000163323275,46303774477
2025-01-03,1.0,0.9999999839119289,1.000000019074233,46303774477
2025-01-04,1.0,0.9999999801378944,1.0000000219953311,46303774477
2025-01-05,1.0,0.9999999772630984,1.0000000240715603,46303774477
2025-01-06,1.0,0.9999999747022132,1.0000000275070877,46303774477
2025-01-07,1.0,0.9999999719669499,1.0000000313742532,46303774477
2025-01-08,1.0,0.9999999680978475,1.0000000348615283,46303774477
2025-01-09,1.0,0.9999999637590254,1.0000000381566316,46303774477
2025-01-10,1.0,0.9999999610355429,1.000000042325349,46303774477
2025-01-11,1.0,0.9999999572271041,1.000000045861376,46303774477
2025-01-12,1.0,0.9999999538788283,1.0000000501328226,46303774477
2025-01-13,1.0,0.9999999504650917,1.0000000524941204,46303774477
2025-01-14,1.0,0.9999999486559632,1.0000000556549145,46303774477
2025-01-15,1.0,0.9999999448262566,1.0000000597188516,46303774477
2025-01-16,1.0,0.9999999421551751,1.0000000631687467,46303774477
2025-01-17,1.0,0.9999999371672377,1.000000068222725,46303774477
2025-01-18,1.0,0.999999932976972,1.0000000713903745,46303774477
2025-01-19,1.0,0.9999999290460694,1.0000000757791019,46303774477
2025-01-20,1.0,0.9999999244534262,1.0000000798411397,46303774477
2025-10-03,1.9999978562367324,1.9999978562326928,1.9999978562406413,46303862950
2025-10-04,1.9999978562485385,1.9999978562447567,1.99999785625269,46303862950
2025-10-05,1.9999978562603447,1.9999978562562317,1.9999978562647085,46303862950
2025-10-06,1.9999978562721508,1.999997856268022,1.9999978562763636,46303862950
2025-10-07,1.9999978562839567,1.999997856279814,1.999997856288105,46303862950
2025-10-08,1.9999978562957628,1.9999978562917753,1.9999978563000982,46303862950
2025-10-09,1.9999978563075689,1.9999978563034777,1.9999978563116871,46303862950
2025-10-10,1.9999978563193748,1.9999978563148775,1.9999978563235958,46303862950
2025-10-11,1.9999978563311809,1.9999978563269334,1.9999978563357403,46303862950
2025-10-12,1.999997856342987,1.9999978563383252,1.9999978563473926,46303862950
2025-10-13,1.999997856354793,1.9999978563502165,1.9999978563590186,46303862950
2025-10-14,1.999997856366599,1.9999978563620358,1.9999978563710974,46303862950
2025-10-15,1.999997856378405,1.9999978563738638,1.999997856383241,46303862950
2025-10-16,1.9999978563902112,1.9999978563855796,1.999997856394897,46303862950
2025-10-17,1.999997856402017,1.9999978563973297,1.9999978564062333,46303862950
2025-10-18,1.9999978564138232,1.9999978564092418,1.99999785641853,46303862950
2025-10-19,1.9999978564256293,1.9999978564207006,1.9999978564303846,46303862950
2025-10-20,1.9999978564374352,1.999997856432685,1.9999978564423948,46303862950
2025-10-21,1.9999978564492413,1.999997856444503,1.9999978564540788,46303862950
2025-10-22,1.9999978564610474,1.9999978564562806,1.9999978564662473,46303862950
2025-10-23,1.9999978564728536,1.9999978564677985,1.999997856477599,46303862950
2025-10-24,1.9999978564846594,1.9999978564794987,1.99999785648959,46303862950
2025-10-25,1.9999978564964656,1.9999978564911507,1.9999978565020784,46303862950
2025-10-26,1.9999978565082717,1.9999978565030196,1.9999978565135992,46303862950
2025-10-27,1.9999978565200776,1.9999978565147414,1.9999978565253003,46303862950
2025-10-28,1.9999978565318837,1.9999978565266496,1.9999978565372767,46303862950
2025-10-29,1.9999978565436898,1.9999978565382157,1.9999978565492738,46303862950
2025-10-30,1.999997856555496,1.9999978565492462,1.9999978565607968,46303862950
2025-10-03,14.089301349468343,10.810220842908075,17.429379525760154,46303877432
2025-10-04,14.127092653849918,11.077497427912858,17.375013089656914,46303877432
2025-10-05,14.164883958231496,10.988805250686376,17.718469938776607,46303877432
2025-10-06,14.202675262613067,11.124166387167424,17.36070861410912,46303877432
2025-10-07,14.240466566994645,11.0264159720472,17.499434607520186,46303877432
2025-10-08,14.27825787137622,11.255008765417019,17.691795472463877,46303877432
2025-10-09,14.316049175757797,11.306208194709122,17.824244750576742,46303877432
2025-10-10,14.353840480139372,11.376407530570653,17.59566278794168,46303877432
2025-10-11,14.39163178452095,11.30408087784456,17.69600036709494,46303877432
2025-10-12,14.42942308890252,11.246796710599108,17.702927535277542,46303877432
2025-10-13,14.467214393284102,11.010214221834039,17.70403242095341,46303877432
2025-10-14,14.505005697665673,11.289384973230968,17.72395207737719,46303877432
2025-10-15,14.542797002047251,11.165456677866544,17.58944791466169,46303877432
2025-10-16,14.580588306428826,11.183597032322323,17.776122315398123,46303877432
2025-10-17,14.618379610810404,11.408915173681974,17.68686709426347,46303877432
2025-10-18,14.656170915191979,11.387197535429458,17.62693344319296,46303877432
2025-10-19,14.693962219573557,11.43235590633027,18.154104143456703,46303877432
2025-10-20,14.731753523955128,11.505037168848125,18.029762950243693,46303877432
2025-10-21,14.769544828336706,11.579570617808969,17.904772159243738,46303877432
2025-10-22,14.80733613271828,11.53621104831352,18.209753097774673,46303877432
